epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,47.6993,1.46626,1.73967,1.39406,0.65077,0.62829,0.71738,0.36981,1.56337,1.71929,1.50802,0.000848969,0.000848969,0.000848969
43,48.9077,1.41877,1.47302,1.37904,0.59613,0.76648,0.74031,0.40593,1.53345,1.65583,1.46301,0.000834822,0.000834822,0.000834822
44,49.911,1.41833,1.55885,1.39534,0.73942,0.71353,0.77732,0.42275,1.54865,1.60014,1.47789,0.000820675,0.000820675,0.000820675
45,51.1062,1.28308,1.67218,1.34072,0.71122,0.77986,0.80758,0.41999,1.59236,1.51252,1.47787,0.000806528,0.000806528,0.000806528
46,52.2032,1.40845,1.51857,1.33853,0.8482,0.75166,0.84671,0.45732,1.57417,1.41272,1.44483,0.00079238,0.00079238,0.00079238
47,53.2833,1.56985,1.61296,1.48929,0.7596,0.75,0.83711,0.45943,1.52886,1.37447,1.42948,0.000778233,0.000778233,0.000778233
48,54.3551,1.44348,1.54797,1.3184,0.75907,0.75926,0.81062,0.46751,1.50237,1.40109,1.41352,0.000764086,0.000764086,0.000764086
49,55.4385,1.33334,1.49973,1.32935,0.75456,0.75672,0.83628,0.48095,1.48457,1.38039,1.40811,0.000749939,0.000749939,0.000749939
50,56.4814,1.40143,1.55335,1.29321,0.69118,0.84568,0.83411,0.47168,1.45525,1.35693,1.42682,0.000735792,0.000735792,0.000735792
51,57.5052,1.35755,1.55866,1.32162,0.78888,0.8151,0.86128,0.49416,1.39765,1.31553,1.41656,0.000721645,0.000721645,0.000721645
52,58.581,1.3274,1.45612,1.35596,0.77161,0.73765,0.86402,0.48404,1.40882,1.32811,1.43532,0.000707498,0.000707498,0.000707498
53,59.5868,1.29365,1.55258,1.32956,0.87204,0.70944,0.84623,0.47137,1.44264,1.33081,1.46759,0.000693351,0.000693351,0.000693351
54,60.8025,1.53097,1.68861,1.41344,0.86642,0.73025,0.86397,0.46482,1.44984,1.33048,1.46906,0.000679204,0.000679204,0.000679204
55,61.8325,1.40358,1.58052,1.37184,0.78943,0.77681,0.83651,0.46217,1.50048,1.33817,1.47967,0.000665057,0.000665057,0.000665057
56,62.8123,1.49717,1.45034,1.44742,0.81009,0.79321,0.87427,0.50158,1.46675,1.29382,1.43028,0.000650909,0.000650909,0.000650909
57,63.8343,1.36842,1.43179,1.29793,0.81048,0.83676,0.8839,0.54487,1.3547,1.27,1.33999,0.000636762,0.000636762,0.000636762
58,64.9236,1.35138,1.38423,1.33648,0.7532,0.87853,0.86908,0.57164,1.2866,1.22365,1.29688,0.000622615,0.000622615,0.000622615
59,66.0219,1.28708,1.40723,1.26947,0.79078,0.80417,0.85135,0.53878,1.31495,1.21272,1.30044,0.000608468,0.000608468,0.000608468
60,67.0823,1.38735,1.48856,1.37854,0.75958,0.85324,0.84886,0.53205,1.31059,1.19981,1.2869,0.000594321,0.000594321,0.000594321
61,68.1381,1.58874,1.49046,1.43725,0.78195,0.84155,0.8468,0.52834,1.2915,1.21538,1.2814,0.000580174,0.000580174,0.000580174
62,69.4742,1.30966,1.33926,1.34573,0.81497,0.85445,0.85556,0.53835,1.32615,1.19961,1.30049,0.000566027,0.000566027,0.000566027
63,70.7621,1.35398,1.38272,1.26388,0.80735,0.8599,0.86228,0.54696,1.31162,1.13859,1.30253,0.00055188,0.00055188,0.00055188
64,72.0099,1.27877,1.43287,1.30297,0.7821,0.91703,0.87506,0.55345,1.30189,1.12675,1.2881,0.000537733,0.000537733,0.000537733
65,73.0356,1.2244,1.36702,1.30275,0.84761,0.81156,0.87949,0.57189,1.28492,1.08813,1.25772,0.000523586,0.000523586,0.000523586
66,74.0483,1.3817,1.27932,1.31075,0.83038,0.84735,0.88093,0.57969,1.27374,1.08306,1.24861,0.000509438,0.000509438,0.000509438
67,75.1313,1.18788,1.34104,1.25899,0.85098,0.8491,0.91049,0.60531,1.265,1.04921,1.2434,0.000495291,0.000495291,0.000495291
68,76.293,1.20711,1.2846,1.21631,0.86093,0.84432,0.92314,0.62504,1.22987,1.04537,1.22096,0.000481144,0.000481144,0.000481144
69,77.3644,1.29668,1.32933,1.24096,0.87094,0.86368,0.91266,0.61725,1.18564,1.02798,1.2156,0.000466997,0.000466997,0.000466997
70,78.4326,1.2496,1.41094,1.24878,0.86252,0.8782,0.9167,0.61916,1.19055,1.03273,1.2149,0.00045285,0.00045285,0.00045285
71,79.4942,1.3952,1.36977,1.35431,0.87167,0.85986,0.92317,0.61846,1.1649,1.02874,1.20296,0.000438703,0.000438703,0.000438703
72,80.7568,1.22668,1.18281,1.20979,0.87165,0.86263,0.93237,0.63603,1.14357,1.00424,1.18266,0.000424556,0.000424556,0.000424556
73,81.7951,1.19721,1.28984,1.21407,0.89272,0.87361,0.93667,0.65791,1.11846,0.98075,1.16505,0.000410409,0.000410409,0.000410409
74,82.861,1.38817,1.20143,1.19593,0.93722,0.84552,0.9341,0.66572,1.09054,0.97596,1.1611,0.000396262,0.000396262,0.000396262
75,83.9444,1.32924,1.25702,1.26842,0.89391,0.87683,0.93118,0.66284,1.07523,0.96519,1.15437,0.000382115,0.000382115,0.000382115
76,85.0211,1.10364,1.23487,1.22513,0.89381,0.89923,0.92476,0.64474,1.08006,0.96535,1.15691,0.000367967,0.000367967,0.000367967
77,86.0511,1.19208,1.21886,1.23351,0.86429,0.90933,0.90536,0.63405,1.08191,1.00769,1.1548,0.00035382,0.00035382,0.00035382
78,87.0332,1.17969,1.34013,1.174,0.86027,0.91667,0.90682,0.63466,1.07233,1.03517,1.15661,0.000339673,0.000339673,0.000339673
79,88.0414,1.20794,1.33099,1.29421,0.87775,0.90522,0.90714,0.63384,1.06666,1.0564,1.15872,0.000325526,0.000325526,0.000325526
