timestamp,fps,speed,steering,nav_state,traffic_state,curvature,degradation_level,estop
1771936120.154,0.0,0.0,0.0,NORMAL,FATAL DEGRADATION,0.0,3,0
1771936121.613,0.9,0.0,0.0,NORMAL,FATAL DEGRADATION,0.0,3,0
1771936124.544,0.8,0.0,0.0,NORMAL,FATAL DEGRADATION,0.0,3,0
1771936132.772,0.7,0.0,0.0,NORMAL,FATAL DEGRADATION,0.0,3,0
1771936140.214,0.5,0.0,0.0,JUNCTION_PROMPT,FATAL DEGRADATION,0.0,3,0
1771936147.887,0.4,0.0,15.0,JUNCTION_RIGHT,FATAL DEGRADATION,0.0,3,0
1771936156.293,0.3,0.0,30.0,JUNCTION_RIGHT,FATAL DEGRADATION,0.0,3,0
1771936163.708,0.3,0.0,45.0,JUNCTION_RIGHT,FATAL DEGRADATION,0.0,3,0
1771936168.976,0.2,0.0,45.0,JUNCTION_RIGHT,FATAL DEGRADATION,0.0,3,0
1771936177.075,0.2,0.0,45.0,JUNCTION_RIGHT,FATAL DEGRADATION,0.0,3,0
