timestamp,fps,speed,steering,nav_state,traffic_state,curvature,degradation_level,estop
1771935295.632,0.0,0.0,0.0,NORMAL,FATAL DEGRADATION,0.0,3,0
1771935300.762,0.5,0.0,0.0,NORMAL,FATAL DEGRADATION,0.0,3,0
1771935306.475,0.4,0.0,0.0,NORMAL,FATAL DEGRADATION,0.0,3,0
1771935311.977,0.3,0.0,0.0,NORMAL,FATAL DEGRADATION,0.0,3,0
1771935314.73,0.3,0.0,0.0,JUNCTION_PROMPT,FATAL DEGRADATION,0.0,3,0
1771935318.419,0.3,0.0,15.0,JUNCTION_RIGHT,FATAL DEGRADATION,0.0,3,0
1771935322.969,0.3,0.0,30.0,JUNCTION_RIGHT,FATAL DEGRADATION,0.0,3,0
1771935326.285,0.3,0.0,45.0,JUNCTION_RIGHT,FATAL DEGRADATION,0.0,3,0
1771935327.035,0.3,0.0,45.0,JUNCTION_RIGHT,FATAL DEGRADATION,0.0,3,0
1771935329.459,0.6,0.0,45.0,JUNCTION_RIGHT,FATAL DEGRADATION,0.0,3,0
1771935331.744,0.5,0.0,45.0,JUNCTION_RIGHT,FATAL DEGRADATION,0.0,3,0
1771935332.482,0.5,0.0,45.0,JUNCTION_RIGHT,FATAL DEGRADATION,0.0,3,0
