timestamp,fps,speed,steering,nav_state,traffic_state,curvature,degradation_level,estop
1771795108.07,0.0,0.0,0.0,NORMAL,FATAL DEGRADATION,0.0,3,0
1771795108.159,0.8,0.0,0.0,NORMAL,FATAL DEGRADATION,0.0,3,0
1771795108.224,4.0,0.0,0.0,NORMAL,FATAL DEGRADATION,0.0,3,0
1771795108.248,7.4,0.0,0.0,NORMAL,FATAL DEGRADATION,0.0,3,0
1771795108.306,17.6,0.0,0.0,JUNCTION_PROMPT,FATAL DEGRADATION,0.0,3,0
1771795108.34,17.5,0.0,0.0,JUNCTION_RIGHT,FATAL DEGRADATION,0.0,3,0
1771795108.375,21.3,0.0,0.0,JUNCTION_RIGHT,FATAL DEGRADATION,0.0,3,0
1771795108.42,23.4,0.0,0.0,JUNCTION_RIGHT,FATAL DEGRADATION,0.0,3,0
1771795108.464,23.1,0.0,0.0,JUNCTION_RIGHT,FATAL DEGRADATION,0.0,3,0
1771795108.509,22.7,0.0,0.0,JUNCTION_RIGHT,FATAL DEGRADATION,0.0,3,0
1771795108.554,22.9,0.0,0.0,JUNCTION_RIGHT,FATAL DEGRADATION,0.0,3,0
1771795108.605,22.6,0.0,0.0,JUNCTION_RIGHT,FATAL DEGRADATION,0.0,3,0
1771795108.648,21.7,0.0,0.0,JUNCTION_RIGHT,FATAL DEGRADATION,0.0,3,0
1771795108.69,22.3,0.0,0.0,JUNCTION_RIGHT,FATAL DEGRADATION,0.0,3,0
1771795108.738,22.4,0.0,0.0,JUNCTION_RIGHT,FATAL DEGRADATION,0.0,3,0
1771795108.782,22.2,0.0,0.0,JUNCTION_RIGHT,FATAL DEGRADATION,0.0,3,0
1771795108.841,22.3,0.0,0.0,JUNCTION_RIGHT,FATAL DEGRADATION,0.0,3,0
1771795108.869,20.7,0.0,0.0,JUNCTION_RIGHT,FATAL DEGRADATION,0.0,3,0
1771795108.905,25.2,0.0,0.0,JUNCTION_RIGHT,FATAL DEGRADATION,0.0,3,0
1771795108.953,26.0,0.0,0.0,JUNCTION_RIGHT,FATAL DEGRADATION,0.0,3,0
1771795108.996,24.4,0.0,0.0,JUNCTION_RIGHT,FATAL DEGRADATION,0.0,3,0
1771795109.042,24.1,0.0,0.0,JUNCTION_RIGHT,FATAL DEGRADATION,0.0,3,0
1771795109.087,23.3,0.0,0.0,JUNCTION_RIGHT,FATAL DEGRADATION,0.0,3,0
1771795109.133,23.1,0.0,0.0,JUNCTION_RIGHT,FATAL DEGRADATION,0.0,3,0
1771795109.183,22.7,0.0,0.0,JUNCTION_RIGHT,FATAL DEGRADATION,0.0,3,0
1771795109.225,21.7,0.0,0.0,JUNCTION_RIGHT,FATAL DEGRADATION,0.0,3,0
1771795109.271,22.2,0.0,0.0,JUNCTION_RIGHT,FATAL DEGRADATION,0.0,3,0
1771795109.318,22.5,0.0,0.0,JUNCTION_RIGHT,FATAL DEGRADATION,0.0,3,0
1771795109.363,22.0,0.0,0.0,JUNCTION_RIGHT,FATAL DEGRADATION,0.0,3,0
1771795109.411,22.0,0.0,0.0,JUNCTION_RIGHT,FATAL DEGRADATION,0.0,3,0
1771795109.452,21.7,0.0,0.0,JUNCTION_RIGHT,FATAL DEGRADATION,0.0,3,0
1771795109.502,22.6,0.0,0.0,JUNCTION_RIGHT,FATAL DEGRADATION,0.0,3,0
1771795109.548,21.8,0.0,0.0,JUNCTION_RIGHT,FATAL DEGRADATION,0.0,3,0
1771795109.593,21.8,0.0,0.0,JUNCTION_RIGHT,FATAL DEGRADATION,0.0,3,0
1771795109.64,21.8,0.0,0.0,JUNCTION_RIGHT,FATAL DEGRADATION,0.0,3,0
1771795109.685,21.7,0.0,0.0,JUNCTION_RIGHT,FATAL DEGRADATION,0.0,3,0
1771795109.73,21.8,0.0,0.0,JUNCTION_RIGHT,FATAL DEGRADATION,0.0,3,0
1771795109.78,22.0,0.0,0.0,JUNCTION_RIGHT,FATAL DEGRADATION,0.0,3,0
1771795109.83,21.5,0.0,0.0,JUNCTION_RIGHT,FATAL DEGRADATION,0.0,3,0
1771795109.865,20.8,0.0,0.0,JUNCTION_RIGHT,FATAL DEGRADATION,0.0,3,0
1771795109.901,23.6,0.0,0.0,JUNCTION_RIGHT,FATAL DEGRADATION,0.0,3,0
1771795109.946,24.6,0.0,0.0,JUNCTION_RIGHT,FATAL DEGRADATION,0.0,3,0
1771795109.989,24.0,0.0,0.0,JUNCTION_RIGHT,FATAL DEGRADATION,0.0,3,0
1771795110.032,23.8,0.0,0.0,JUNCTION_RIGHT,FATAL DEGRADATION,0.0,3,0
1771795110.078,23.7,0.0,0.0,JUNCTION_RIGHT,FATAL DEGRADATION,0.0,3,0
1771795110.124,22.8,0.0,0.0,JUNCTION_RIGHT,FATAL DEGRADATION,0.0,3,0
