timestamp,fps,speed_pwm,steer_angle,nav_state,traffic_state,x_est,y_est,yaw_est,imu_yaw_raw,nearest_node,curvature,estop
1771963558.9803,0.0,50.0,0.0,PILOTING,SYS_GO,15.48,3.83,0.0,0.0,57,0.0,0
1771963559.1595,1.2,50.0,0.0,PILOTING,SYS_GO,15.5813,3.83,0.0,0.0,57,0.0,0
1771963559.2105,15.6,50.0,0.0,PILOTING,SYS_GO,15.5895,3.83,0.0,0.0,57,0.0,0
1771963559.2559,20.3,50.0,0.0,PILOTING,SYS_GO,15.6049,3.83,0.0,0.0,57,0.0,0
1771963559.3738,18.1,50.0,0.0,PILOTING,SYS_GO,15.6694,3.83,0.0,0.0,57,0.0,0
1771963559.4202,26.7,50.0,0.0,PILOTING,SYS_GO,15.6792,3.83,0.0,0.0,57,0.0,0
1771963559.4674,26.9,50.0,0.0,PILOTING,SYS_GO,15.7006,3.83,0.0,0.0,57,0.0,0
1771963559.5405,25.3,50.0,0.0,PILOTING,SYS_GO,15.7325,3.83,0.0,0.0,57,0.0,0
1771963559.6046,24.1,50.0,0.0,PILOTING,SYS_GO,15.7638,3.83,0.0,0.0,57,0.0,0
1771963559.6537,26.3,50.0,0.0,PILOTING,SYS_GO,15.7807,3.83,0.0,0.0,57,0.0,0
1771963559.7036,27.3,50.0,0.0,PILOTING,SYS_GO,15.7999,3.83,0.0,0.0,57,0.0,0
1771963559.7718,25.1,50.0,0.0,PILOTING,SYS_GO,15.8365,3.83,0.0,0.0,57,0.0,0
1771963559.8252,33.5,50.0,0.0,PILOTING,SYS_GO,15.8455,3.83,0.0,0.0,57,0.0,0
1771963559.9095,29.3,50.0,0.0,PILOTING,SYS_GO,15.8939,3.83,0.0,0.0,54,0.0,0
1771963559.956,39.3,50.0,0.0,PILOTING,SYS_GO,15.9014,3.83,0.0,0.0,54,0.0,0
1771963560.0497,34.1,50.0,0.0,PILOTING,SYS_GO,15.9472,3.83,0.0,0.0,54,0.0,0
1771963560.0928,43.0,50.0,0.0,PILOTING,SYS_GO,15.9548,3.83,0.0,0.0,54,0.0,0
1771963560.1851,37.1,50.0,0.0,PILOTING,SYS_GO,16.0,3.83,0.0,0.0,54,0.0,0
1771963560.229,43.1,50.0,0.0,PILOTING,SYS_GO,16.009,3.83,0.0,0.0,54,0.0,0
1771963560.2925,38.3,50.0,0.0,PILOTING,SYS_GO,16.0403,3.83,0.0,0.0,54,0.0,0
1771963560.3675,33.7,50.0,0.0,PILOTING,SYS_GO,16.0794,3.83,0.0,0.0,54,0.0,0
1771963560.416,32.6,50.0,0.0,PILOTING,SYS_GO,16.1008,3.83,0.0,0.0,54,0.0,0
1771963560.4854,31.1,50.0,0.0,PILOTING,SYS_GO,16.1246,3.83,0.0,0.0,54,0.0,0
1771963560.5549,28.6,50.0,0.0,PILOTING,SYS_GO,16.1573,3.83,0.0,0.0,54,0.0,0
1771963560.6069,30.8,50.0,0.0,PILOTING,SYS_GO,16.1723,3.83,0.0,0.0,54,0.0,0
1771963560.6769,28.3,50.0,0.0,PILOTING,SYS_GO,16.2053,3.83,0.0,0.0,54,0.0,0
1771963560.7294,30.2,50.0,0.0,PILOTING,SYS_GO,16.2211,3.83,0.0,0.0,54,0.0,0
1771963560.8148,26.9,50.0,0.0,PILOTING,SYS_GO,16.2645,3.83,0.0,0.0,54,0.0,0
1771963560.8628,28.9,50.0,0.0,PILOTING,SYS_GO,16.2809,3.83,0.0,0.0,54,0.0,0
1771963560.9531,25.5,50.0,0.0,PILOTING,SYS_GO,16.3309,3.83,0.0,0.0,54,0.0,0
1771963560.9994,37.5,50.0,0.0,PILOTING,SYS_GO,16.3379,3.83,0.0,0.0,54,0.0,0
1771963561.0962,33.1,50.0,0.0,PILOTING,SYS_GO,16.3763,3.83,0.0,0.0,54,0.0,0
1771963561.1369,31.9,50.0,0.0,PILOTING,SYS_GO,16.3986,3.83,0.0,0.0,54,0.0,0
1771963561.1826,34.2,50.0,0.0,PILOTING,SYS_GO,16.4125,3.83,0.0,0.0,54,0.0,0
1771963561.2739,29.8,50.0,0.0,PILOTING,SYS_GO,16.4611,3.83,0.0,0.0,257,0.0,0
1771963561.3203,31.1,50.0,0.0,PILOTING,SYS_GO,16.4777,3.83,0.0,0.0,257,0.0,0
1771963561.3969,27.7,50.0,0.0,PILOTING,SYS_GO,16.5196,3.83,0.0,0.0,257,0.0,0
1771963561.4425,31.7,50.0,0.0,PILOTING,SYS_GO,16.5322,3.83,0.0,0.0,257,0.0,0
1771963561.5338,27.9,50.0,0.0,PILOTING,SYS_GO,16.5802,3.83,0.0,0.0,257,0.0,0
1771963561.5849,31.1,50.0,0.0,PILOTING,SYS_GO,16.5938,3.83,0.0,0.0,257,0.0,0
1771963561.6581,27.8,50.0,0.0,PILOTING,SYS_GO,16.635,3.83,0.0,0.0,257,0.0,0
1771963561.7033,37.9,50.0,0.0,PILOTING,SYS_GO,16.6427,3.83,0.0,0.0,257,0.0,0
1771963561.7495,40.3,50.0,0.0,PILOTING,SYS_GO,16.6547,3.83,0.0,0.0,257,0.0,0
1771963561.7954,43.4,50.0,0.0,PILOTING,SYS_GO,16.6655,3.83,0.0,0.0,257,0.0,0
1771963561.8418,44.5,50.0,0.0,PILOTING,SYS_GO,16.6777,3.83,0.0,0.0,257,0.0,0
1771963561.8874,45.8,50.0,0.0,PILOTING,SYS_GO,16.6895,3.83,0.0,0.0,257,0.0,0
1771963561.9323,46.7,50.0,0.0,PILOTING,SYS_GO,16.7015,3.83,0.0,0.0,257,0.0,0
1771963561.9782,42.9,50.0,0.0,PILOTING,SYS_GO,16.7232,3.83,0.0,0.0,257,0.0,0
