schema_ver,timestamp,fps,yolo_ms,vis_ms,speed_pwm,velocity_ms,steer_angle,nav_state,traffic_state,x_est,y_est,yaw_est,imu_yaw_raw,nearest_node,curvature,lane_l_conf,lane_r_conf,estop
3,1771968691.5439,0.0,1.0,130.8,20.0,0.0,0.0,PILOTING,SYS_GO,15.48,3.83,0.0,0.0,57,0.0,0.0,0.0,0
3,1771968691.6944,1.5,1.6,16.3,20.0,0.112,0.0,PILOTING,SYS_GO,15.4949,3.83,0.0,0.0,57,0.0,0.0,0.0,0
3,1771968691.7404,12.4,1.0,14.1,20.0,0.112,0.0,PILOTING,SYS_GO,15.497,3.83,0.0,0.0,57,0.0,0.0,0.0,0
3,1771968691.7901,21.8,1.0,37.4,20.0,0.112,0.0,PILOTING,SYS_GO,15.4988,3.83,0.0,0.0,57,0.0,0.0,0.0,0
3,1771968691.8483,22.4,18.6,18.9,20.0,0.112,0.0,PILOTING,SYS_GO,15.5034,3.83,0.0,0.0,57,0.0,0.0,0.0,0
3,1771968691.8919,22.9,0.0,12.6,20.0,0.112,0.0,PILOTING,SYS_GO,15.5079,3.83,0.0,0.0,57,0.0,0.0,0.0,0
3,1771968691.94,34.2,2.0,35.1,20.0,0.112,0.0,PILOTING,SYS_GO,15.5093,3.83,0.0,0.0,57,0.0,0.0,0.0,0
3,1771968691.9852,32.8,3.5,22.7,20.0,0.112,0.0,PILOTING,SYS_GO,15.5134,3.83,0.0,0.0,57,0.0,0.0,0.0,0
3,1771968692.0313,33.3,13.0,28.6,20.0,0.112,0.0,PILOTING,SYS_GO,15.5166,3.83,0.0,0.0,57,0.0,0.0,0.0,0
3,1771968692.0918,30.9,0.0,16.5,20.0,0.112,0.0,PILOTING,SYS_GO,15.5219,3.83,0.0,0.0,57,0.0,0.0,0.0,0
3,1771968692.1392,36.8,1.0,23.2,20.0,0.112,0.0,PILOTING,SYS_GO,15.5237,3.83,0.0,0.0,57,0.0,0.0,0.0,0
3,1771968692.193,37.2,1.5,18.6,20.0,0.112,0.0,PILOTING,SYS_GO,15.5266,3.83,0.0,0.0,57,0.0,0.0,0.0,0
3,1771968692.2303,37.6,0.3,13.0,20.0,0.112,0.0,PILOTING,SYS_GO,15.5295,3.83,0.0,0.0,57,0.0,0.0,0.0,0
3,1771968692.2756,45.0,0.0,40.7,20.0,0.112,0.0,PILOTING,SYS_GO,15.531,3.83,0.0,0.0,57,0.0,0.0,0.0,0
3,1771968692.3261,40.6,5.3,49.9,20.0,0.112,0.0,PILOTING,SYS_GO,15.5359,3.83,0.0,0.0,57,0.0,0.0,0.0,0
3,1771968692.4012,35.8,0.0,10.8,20.0,0.112,0.0,PILOTING,SYS_GO,15.5426,3.83,0.0,0.0,57,0.0,0.0,0.0,0
3,1771968692.4461,43.0,3.0,31.1,20.0,0.112,0.0,PILOTING,SYS_GO,15.5441,3.83,0.0,0.0,57,0.0,0.0,0.0,0
3,1771968692.4924,40.1,1.0,29.6,20.0,0.112,0.0,PILOTING,SYS_GO,15.548,3.83,0.0,0.0,57,0.0,0.0,0.0,0
3,1771968692.5371,38.4,0.0,26.5,20.0,0.112,0.0,PILOTING,SYS_GO,15.5516,3.83,0.0,0.0,57,0.0,0.0,0.0,0
3,1771968692.5875,38.0,1.0,42.2,20.0,0.112,0.0,PILOTING,SYS_GO,15.5546,3.83,0.0,0.0,57,0.0,0.0,0.0,0
3,1771968692.6438,35.0,3.3,34.6,20.0,0.112,0.0,PILOTING,SYS_GO,15.5596,3.83,0.0,0.0,57,0.0,0.0,0.0,0
3,1771968692.6904,32.7,0.4,8.8,20.0,0.112,0.0,PILOTING,SYS_GO,15.5643,3.83,0.0,0.0,57,0.0,0.0,0.0,0
3,1771968692.7371,44.8,3.0,25.2,20.0,0.112,0.0,PILOTING,SYS_GO,15.5655,3.83,0.0,0.0,57,0.0,0.0,0.0,0
3,1771968692.7855,42.7,8.6,23.5,20.0,0.112,0.0,PILOTING,SYS_GO,15.5687,3.83,0.0,0.0,57,0.0,0.0,0.0,0
3,1771968692.8301,39.6,0.5,30.9,20.0,0.112,0.0,PILOTING,SYS_GO,15.5728,3.83,0.0,0.0,57,0.0,0.0,0.0,0
3,1771968692.8768,37.9,2.0,36.1,20.0,0.112,0.0,PILOTING,SYS_GO,15.5764,3.83,0.0,0.0,57,0.0,0.0,0.0,0
3,1771968692.951,35.0,12.3,18.8,20.0,0.112,0.0,PILOTING,SYS_GO,15.5812,3.83,0.0,0.0,57,0.0,0.0,0.0,0
3,1771968692.9965,34.5,0.0,28.6,20.0,0.112,0.0,PILOTING,SYS_GO,15.5847,3.83,0.0,0.0,57,0.0,0.0,0.0,0
3,1771968693.0454,34.6,4.5,46.4,20.0,0.112,0.0,PILOTING,SYS_GO,15.5879,3.83,0.0,0.0,57,0.0,0.0,0.0,0
3,1771968693.1173,31.3,7.8,11.2,20.0,0.112,0.0,PILOTING,SYS_GO,15.5941,3.83,0.0,0.0,57,0.0,0.0,0.0,0
3,1771968693.1634,35.5,0.6,23.4,20.0,0.112,0.0,PILOTING,SYS_GO,15.5962,3.83,0.0,0.0,57,0.0,0.0,0.0,0
3,1771968693.2133,36.5,5.5,37.1,20.0,0.112,0.0,PILOTING,SYS_GO,15.599,3.83,0.0,0.0,57,0.0,0.0,0.0,0
3,1771968693.2706,33.3,0.0,24.8,20.0,0.112,0.0,PILOTING,SYS_GO,15.6045,3.83,0.0,0.0,57,0.0,0.0,0.0,0
3,1771968693.3186,34.4,1.0,42.3,20.0,0.112,0.0,PILOTING,SYS_GO,15.6074,3.83,0.0,0.0,57,0.0,0.0,0.0,0
3,1771968693.3805,32.0,2.3,50.5,20.0,0.112,0.0,PILOTING,SYS_GO,15.6123,3.83,0.0,0.0,57,0.0,0.0,0.0,0
3,1771968693.4419,29.4,3.6,12.4,20.0,0.112,0.0,PILOTING,SYS_GO,15.6182,3.83,0.0,0.0,57,0.0,0.0,0.0,0
3,1771968693.4837,36.0,4.8,15.0,20.0,0.112,0.0,PILOTING,SYS_GO,15.62,3.83,0.0,0.0,57,0.0,0.0,0.0,0
3,1771968693.5309,38.7,13.2,67.4,20.0,0.112,0.0,PILOTING,SYS_GO,15.6223,3.83,0.0,0.0,57,0.0,0.0,0.0,0
3,1771968693.6204,33.4,0.0,22.1,20.0,0.112,0.0,PILOTING,SYS_GO,15.6314,3.83,0.0,0.0,57,0.0,0.0,0.0,0
3,1771968693.6702,35.1,1.0,46.6,20.0,0.112,0.0,PILOTING,SYS_GO,15.6341,3.83,0.0,0.0,57,0.0,0.0,0.0,0
3,1771968693.7286,32.3,3.4,57.8,20.0,0.112,0.0,PILOTING,SYS_GO,15.6395,3.83,0.0,0.0,57,0.0,0.0,0.0,0
3,1771968693.8186,28.2,0.3,12.7,20.0,0.112,0.0,PILOTING,SYS_GO,15.6487,3.83,0.0,0.0,57,0.0,0.0,0.0,0
3,1771968693.8677,37.9,6.3,80.3,20.0,0.112,0.0,PILOTING,SYS_GO,15.6502,3.83,0.0,0.0,57,0.0,0.0,0.0,0
3,1771968693.9724,32.6,0.6,19.3,20.0,0.112,0.0,PILOTING,SYS_GO,15.6601,3.83,0.0,0.0,57,0.0,0.0,0.0,0
