timestamp,speed_pwm,steer_angle,nav_state,traffic_state,x_est,y_est,yaw_est,estop
1771962889.7772827,50.0,0.0,PILOTING,SYS_GO,0.0,0.0,0.0,False
1771962890.0606935,50.0,0.0,PILOTING,SYS_GO,0.17004647254943847,0.0,0.0,False
1771962890.0980937,50.0,0.0,PILOTING,SYS_GO,0.18049020767211912,0.0,0.0,False
1771962890.153433,50.0,0.0,PILOTING,SYS_GO,0.21369380950927733,0.0,0.0,False
1771962890.1916401,50.0,0.0,PILOTING,SYS_GO,0.22381682395935057,0.0,0.0,False
1771962890.244462,50.0,0.0,PILOTING,SYS_GO,0.25550994873046873,0.0,0.0,False
1771962890.2886958,50.0,0.0,PILOTING,SYS_GO,0.2698449611663818,0.0,0.0,False
1771962890.3300014,50.0,0.0,PILOTING,SYS_GO,0.2946282863616943,0.0,0.0,False
1771962890.3751125,50.0,0.0,PILOTING,SYS_GO,0.30955338478088373,0.0,0.0,False
1771962890.4192855,50.0,0.0,PILOTING,SYS_GO,0.33605718612670893,0.0,0.0,False
1771962890.4701188,50.0,0.0,PILOTING,SYS_GO,0.3550899982452392,0.0,0.0,False
1771962890.5082412,50.0,0.0,PILOTING,SYS_GO,0.3779634475708007,0.0,0.0,False
1771962890.5492527,50.0,0.0,PILOTING,SYS_GO,0.3930550575256347,0.0,0.0,False
1771962890.5952973,50.0,0.0,PILOTING,SYS_GO,0.42068181037902824,0.0,0.0,False
1771962890.6403913,50.0,0.0,PILOTING,SYS_GO,0.4341351985931396,0.0,0.0,False
1771962890.6866217,50.0,0.0,PILOTING,SYS_GO,0.44889736175537104,0.0,0.0,False
1771962890.7577825,50.0,0.0,PILOTING,SYS_GO,0.49159383773803705,0.0,0.0,False
1771962890.8332014,50.0,0.0,PILOTING,SYS_GO,0.5368452072143555,0.0,0.0,False
1771962890.880489,50.0,0.0,PILOTING,SYS_GO,0.5492993831634522,0.0,0.0,False
1771962890.9209394,50.0,0.0,PILOTING,SYS_GO,0.5735695838928223,0.0,0.0,False
1771962890.9559972,50.0,0.0,PILOTING,SYS_GO,0.5930485725402832,0.0,0.0,False
1771962891.0030825,50.0,0.0,PILOTING,SYS_GO,0.6212997436523438,0.0,0.0,False
1771962891.0606165,50.0,0.0,PILOTING,SYS_GO,0.6335906982421875,0.0,0.0,False
1771962891.1081872,50.0,0.0,PILOTING,SYS_GO,0.6513690948486328,0.0,0.0,False
1771962891.1580493,50.0,0.0,PILOTING,SYS_GO,0.6812863826751709,0.0,0.0,False
1771962891.225123,50.0,0.0,PILOTING,SYS_GO,0.7215305328369142,0.0,0.0,False
1771962891.261474,50.0,0.0,PILOTING,SYS_GO,0.734388542175293,0.0,0.0,False
1771962891.3058383,50.0,0.0,PILOTING,SYS_GO,0.7610072135925293,0.0,0.0,False
1771962891.3530688,50.0,0.0,PILOTING,SYS_GO,0.7739848136901856,0.0,0.0,False
1771962891.3997138,50.0,0.0,PILOTING,SYS_GO,0.8019717693328857,0.0,0.0,False
1771962891.468224,50.0,0.0,PILOTING,SYS_GO,0.8430779457092284,0.0,0.0,False
1771962891.508224,50.0,0.0,PILOTING,SYS_GO,0.8557117938995361,0.0,0.0,False
